Millis,Sensor,X,Y,Z
663593,A,0.996216,-0.074341,-0.017700
663598,G,1.831055,-0.427246,0.183105
663603,A,0.997192,-0.074707,-0.017456
663608,G,1.770020,-0.427246,0.061035
663613,A,0.997192,-0.073730,-0.018677
663618,G,1.953125,-0.427246,0.061035
663623,A,0.998291,-0.074707,-0.017090
663628,M,-9.594727,36.523437,-26.403809
663632,G,1.525879,-0.366211,0.000000
663637,A,0.996582,-0.075439,-0.018311
663642,G,1.770020,-0.549316,0.122070
663647,A,0.996704,-0.074951,-0.017334
663652,G,1.770020,-0.488281,0.244141
663657,A,0.996826,-0.073975,-0.017212
663662,G,1.708984,-0.427246,0.061035
663667,A,0.997314,-0.074219,-0.017700
663672,M,-9.460449,36.694336,-26.965332
663676,G,1.831055,-0.671387,0.061035
663681,A,0.996094,-0.074341,-0.017212
663686,G,1.708984,-0.427246,-0.061035
663691,A,0.996582,-0.075073,-0.017578
663696,G,1.831055,-0.488281,0.061035
663701,A,0.997070,-0.075195,-0.017578
663706,G,1.708984,-0.549316,0.122070
663711,A,0.996704,-0.074097,-0.018066
663716,G,1.586914,-0.488281,0.183105
663721,A,0.995850,-0.074585,-0.017822
663726,M,-9.521484,36.730957,-26.745605
663730,G,1.831055,-0.366211,0.122070
663735,A,0.996826,-0.074097,-0.017822
663740,G,1.647949,-0.488281,0.183105
663745,A,0.995972,-0.073975,-0.018433
663750,G,1.831055,-0.488281,0.122070
663755,A,0.995972,-0.073730,-0.017456
663760,G,1.953125,-0.488281,0.244141
663765,A,0.997314,-0.074707,-0.016113
663770,G,2.014160,-0.427246,0.183105
663775,A,0.996704,-0.074951,-0.017822
663780,M,-9.960938,37.036133,-26.147461
663784,G,1.647949,-0.305176,0.183105
663789,A,0.996582,-0.074951,-0.017456
663794,G,1.892090,-0.366211,0.061035
663799,A,0.995605,-0.073853,-0.017212
663804,G,1.708984,-0.427246,0.244141
663809,A,0.996704,-0.074097,-0.019287
663814,G,1.586914,-0.488281,0.183105
663819,A,0.995972,-0.074829,-0.015991
663824,M,-9.289551,36.950684,-26.257324
663828,G,2.014160,-0.427246,0.122070
663833,A,0.996826,-0.074707,-0.018188
663838,G,1.708984,-0.366211,0.122070
663843,A,0.996704,-0.074463,-0.019287
663848,G,1.831055,-0.366211,0.183105
663853,A,0.997070,-0.074219,-0.017090
663858,G,1.953125,-0.488281,0.122070
663863,A,0.996216,-0.074585,-0.017944
663868,G,1.831055,-0.244141,0.122070
663873,A,0.996216,-0.074585,-0.017334
663878,M,-9.582520,36.657715,-25.463867
663882,G,1.770020,-0.427246,0.061035
663887,A,0.997314,-0.073975,-0.018188
663892,G,1.586914,-0.366211,0.122070
663897,A,0.996948,-0.073486,-0.017334
663902,G,1.770020,-0.366211,0.244141
663907,A,0.996582,-0.074463,-0.017212
663912,G,1.892090,-0.366211,0.244141
663917,A,0.996948,-0.075928,-0.017456
663922,G,1.892090,-0.488281,0.305176
663927,A,0.995361,-0.075195,-0.017212
663932,M,-9.741211,36.938477,-25.610352
663936,G,1.647949,-0.427246,0.244141
663941,A,0.996704,-0.074585,-0.017944
663946,G,1.953125,-0.610352,0.061035
663951,A,0.996216,-0.075073,-0.016846
663956,G,1.831055,-0.610352,0.183105
663961,A,0.996094,-0.073486,-0.018066
663966,G,1.831055,-0.549316,0.183105
663971,A,0.997192,-0.074463,-0.017944
663976,M,-9.619141,36.877441,-26.782227
663980,G,1.831055,-0.366211,0.183105
663985,A,0.996582,-0.074707,-0.018066
663990,G,1.647949,-0.366211,0.061035
663995,A,0.996582,-0.075439,-0.017700
664000,G,1.831055,-0.488281,0.183105
664005,A,0.996216,-0.074585,-0.018066
664010,G,2.014160,-0.549316,0.244141
664015,A,0.996826,-0.074341,-0.016357
664020,G,1.953125,-0.549316,0.122070
664025,A,0.996704,-0.074219,-0.017212
664030,M,-9.533691,36.596680,-25.634766
664034,G,1.586914,-0.488281,-0.061035
664039,A,0.996582,-0.074829,-0.018677
664044,G,1.647949,-0.488281,0.183105
664049,A,0.996460,-0.074585,-0.018066
664054,G,2.014160,-0.427246,0.244141
664059,A,0.994995,-0.073975,-0.019409
664064,G,2.014160,-0.366211,0.122070
664069,A,0.995728,-0.075195,-0.016479
664074,G,1.953125,-0.549316,0.122070
664079,A,0.996826,-0.074951,-0.017822
664084,M,-9.240723,36.999512,-26.416016
664088,G,1.892090,-0.549316,0.122070
664093,A,0.996826,-0.074829,-0.018555
664098,G,1.831055,-0.488281,0.244141
664103,A,0.995972,-0.075073,-0.018433
664108,G,1.831055,-0.366211,0.183105
664113,A,0.996826,-0.074829,-0.017212
664118,G,1.770020,-0.427246,0.122070
664123,A,0.996948,-0.074707,-0.017822
664128,M,-9.411621,37.402344,-26.452637
664132,G,1.647949,-0.488281,0.183105
664137,A,0.995361,-0.075439,-0.018188
664142,G,1.586914,-0.427246,0.244141
664147,A,0.996216,-0.074463,-0.018433
664152,G,1.770020,-0.427246,0.244141
664157,A,0.997314,-0.074707,-0.017944
664162,G,1.708984,-0.366211,0.244141
664167,A,0.996582,-0.074829,-0.017944
664172,G,1.647949,-0.549316,0.183105
664177,A,0.995850,-0.074463,-0.016846
664182,M,-8.996582,36.682129,-25.085449
664186,G,1.708984,-0.366211,0.183105
664191,A,0.996582,-0.074707,-0.017822
664197,G,1.708984,-0.488281,0.122070
664202,A,0.996948,-0.074097,-0.017822
664207,G,1.708984,-0.610352,0.122070
664212,A,0.996826,-0.075439,-0.018188
664217,G,1.831055,-0.488281,0.305176
664222,A,0.996948,-0.074585,-0.019531
664227,G,1.831055,-0.488281,0.122070
664232,A,0.998169,-0.074097,-0.017578
664237,M,-9.020996,36.914062,-26.354980
664241,G,1.525879,-0.366211,0.122070
664246,A,0.996948,-0.073853,-0.018311
664251,G,1.647949,-0.366211,0.122070
664256,A,0.995850,-0.074097,-0.016846
664261,G,1.770020,-0.366211,0.183105
664266,A,0.996216,-0.074463,-0.017578
664271,G,1.831055,-0.427246,0.305176
664276,A,0.996826,-0.074707,-0.017334
664281,M,-8.996582,36.669922,-26.306152
