Millis,Sensor,X,Y,Z
819247,A,0.997314,-0.075195,-0.011719
819252,G,1.953125,-0.366211,0.244141
819257,A,0.997070,-0.075317,-0.020874
819262,M,-10.742188,37.573242,-26.599121
819266,G,1.953125,-0.427246,0.183105
819271,A,0.998047,-0.071777,-0.018677
819276,G,1.770020,-0.305176,0.244141
819281,A,0.997681,-0.073608,-0.016602
819286,G,1.892090,-0.305176,0.244141
819291,A,0.996094,-0.074829,-0.019531
819296,G,1.831055,-0.305176,0.183105
819301,A,0.995117,-0.074463,-0.020020
819306,M,-11.853027,37.487793,-25.537109
819310,G,1.831055,-0.305176,0.183105
819315,A,0.996704,-0.075195,-0.023193
819320,G,1.708984,-0.244141,0.183105
819325,A,0.996582,-0.072266,-0.022949
819330,G,1.770020,-0.244141,0.244141
819335,A,0.997192,-0.073730,-0.021240
819340,G,1.831055,-0.305176,0.183105
819345,A,0.995728,-0.074585,-0.018433
819350,G,1.831055,-0.244141,0.183105
819355,A,0.995605,-0.075806,-0.018311
819360,M,-9.729004,38.037109,-26.965332
819364,G,1.770020,-0.244141,0.305176
819369,A,0.996094,-0.075317,-0.018188
819374,G,1.647949,-0.366211,0.061035
819379,A,0.997681,-0.074341,-0.018921
819384,G,1.953125,-0.366211,0.183105
819389,A,0.997070,-0.072632,-0.019043
819394,G,1.831055,-0.366211,0.183105
819399,A,0.997070,-0.073853,-0.014648
819404,G,1.770020,-0.427246,0.122070
819409,A,0.996704,-0.074707,-0.014771
819414,M,-12.854004,37.670898,-24.890137
819418,G,1.708984,-0.366211,0.183105
819423,A,0.996582,-0.074707,-0.021606
819428,G,1.953125,-0.488281,0.244141
819433,A,0.996216,-0.074829,-0.019531
819438,G,2.075195,-0.488281,0.244141
819443,A,0.996582,-0.072510,-0.019653
819448,G,1.831055,-0.427246,0.244141
819453,A,0.997437,-0.072754,-0.021851
819458,M,-10.314941,37.072754,-27.050781
819462,G,1.831055,-0.305176,0.305176
819467,A,0.995972,-0.073975,-0.019165
819472,G,1.770020,-0.366211,0.305176
819477,A,0.996338,-0.077515,-0.015869
819482,G,1.831055,-0.366211,0.244141
819487,A,0.996826,-0.075928,-0.016357
819492,G,1.831055,-0.366211,0.244141
819497,A,0.995239,-0.073242,-0.021484
819502,G,1.892090,-0.305176,0.244141
819507,A,0.996826,-0.072754,-0.021729
819512,M,-12.194824,37.219238,-26.086426
819516,G,1.647949,-0.366211,0.183105
819521,A,0.996826,-0.074707,-0.012451
819526,G,1.770020,-0.427246,0.183105
819531,A,0.996338,-0.075317,-0.018188
819536,G,1.953125,-0.427246,0.183105
819541,A,0.996460,-0.075439,-0.015381
819546,G,1.892090,-0.610352,0.183105
819551,A,0.997314,-0.073853,-0.019409
819556,G,1.770020,-0.427246,0.183105
819561,A,0.997314,-0.072266,-0.022095
819566,M,-10.400391,37.365723,-26.452637
819570,G,1.892090,-0.366211,0.305176
819575,A,0.995728,-0.072510,-0.019165
819580,G,1.953125,-0.366211,0.244141
819585,A,0.996216,-0.075073,-0.019897
819590,G,1.953125,-0.244141,0.122070
819595,A,0.995728,-0.076050,-0.019897
819601,G,1.708984,-0.366211,0.305176
819606,A,0.996216,-0.074951,-0.021118
819611,M,-11.779785,37.072754,-26.428223
819615,G,1.953125,-0.427246,0.305176
819620,A,0.997070,-0.073120,-0.022827
819625,G,1.708984,-0.305176,0.183105
819630,A,0.998047,-0.074341,-0.012573
819635,G,1.770020,-0.366211,0.305176
819640,A,0.997681,-0.072998,-0.015137
819645,G,1.770020,-0.366211,0.183105
819650,A,0.994019,-0.074707,-0.019775
819655,G,1.708984,-0.183105,0.305176
819660,A,0.995361,-0.075562,-0.014038
819665,M,-11.193848,37.939453,-26.379395
819669,G,1.892090,-0.244141,0.305176
819674,A,0.996948,-0.073486,-0.022827
819679,G,1.831055,-0.366211,0.244141
819684,A,0.996826,-0.073242,-0.018433
819689,G,1.953125,-0.427246,0.122070
819694,A,0.996582,-0.073120,-0.018066
819699,G,1.892090,-0.305176,0.183105
819704,A,0.996704,-0.074219,-0.018311
819709,G,2.014160,-0.427246,0.183105
819714,A,0.994507,-0.075806,-0.012329
819719,M,-11.120605,37.744141,-26.013184
819723,G,1.831055,-0.427246,0.122070
819728,A,0.995239,-0.074463,-0.020508
819733,G,1.892090,-0.366211,0.244141
819738,A,0.996704,-0.073730,-0.017700
819743,G,2.014160,-0.366211,0.244141
819748,A,0.996460,-0.074585,-0.016479
819753,G,1.892090,-0.305176,0.305176
819758,A,0.997559,-0.073364,-0.014893
819763,M,-11.047363,37.915039,-25.634766
819768,G,1.708984,-0.366211,0.183105
819772,A,0.995117,-0.075562,-0.011475
819777,G,1.770020,-0.244141,0.183105
819782,A,0.996704,-0.073730,-0.018921
819787,G,1.953125,-0.366211,0.244141
819792,A,0.996948,-0.073853,-0.018066
819797,G,1.708984,-0.244141,0.244141
819802,A,0.997437,-0.072510,-0.020386
819807,G,1.831055,-0.427246,0.122070
819812,A,0.995239,-0.071289,-0.017334
819817,M,-10.876465,37.915039,-26.306152
819821,G,1.831055,-0.305176,0.183105
819826,A,0.995605,-0.075684,-0.016235
819831,G,1.831055,-0.427246,0.244141
819836,A,0.996704,-0.075195,-0.017822
819841,G,1.831055,-0.427246,0.244141
819846,A,0.997070,-0.074463,-0.018311
819851,G,1.892090,-0.488281,0.122070
819856,A,0.998169,-0.071777,-0.023315
819861,G,1.831055,-0.366211,0.061035
819866,A,0.997559,-0.073120,-0.019897
819871,M,-10.986328,37.475586,-25.451660
819876,G,1.708984,-0.366211,0.183105
819880,A,0.998169,-0.075562,-0.010620
819885,G,2.014160,-0.366211,0.244141
819890,A,0.996582,-0.075195,-0.018555
819895,G,1.953125,-0.366211,0.244141
819900,A,0.997192,-0.075562,-0.016357
819905,G,1.892090,-0.366211,0.244141
819910,A,0.997070,-0.073364,-0.023315
819915,M,-10.424805,37.609863,-25.793457
819919,G,1.892090,-0.305176,0.244141
819924,A,0.996948,-0.072021,-0.014526
819929,G,1.831055,-0.427246,0.305176
819934,A,0.996948,-0.072876,-0.018311
819939,G,1.770020,-0.488281,0.244141
819944,A,0.997070,-0.076782,-0.023926
819949,G,1.831055,-0.366211,0.244141
819954,A,0.995728,-0.075073,-0.012573
819959,G,1.770020,-0.305176,0.183105
819964,A,0.996582,-0.073730,-0.023560
819969,M,-11.486816,37.512207,-24.926758
819973,G,1.892090,-0.427246,0.183105
819978,A,0.996704,-0.073608,-0.021729
819983,G,1.647949,-0.427246,0.244141
819988,A,0.996826,-0.073486,-0.014160
819993,G,1.892090,-0.549316,0.183105
819998,A,0.996704,-0.074951,-0.014893
820003,G,1.892090,-0.427246,0.122070
820008,A,0.996094,-0.075562,-0.016968
820013,G,2.136230,-0.366211,0.244141
820018,A,0.996582,-0.075928,-0.018188
820023,M,-10.766602,37.646484,-27.490234
820027,G,2.075195,-0.366211,0.122070
820032,A,0.996826,-0.073486,-0.021118
820037,G,1.831055,-0.366211,0.183105
820042,A,0.996948,-0.072021,-0.016968
820047,G,1.953125,-0.610352,0.183105
820052,A,0.996338,-0.073975,-0.020752
820057,G,1.892090,-0.427246,0.244141
820062,A,0.995972,-0.075562,-0.019165
820067,M,-11.682129,37.438965,-25.366211
820071,G,1.892090,-0.366211,0.183105
820076,A,0.996704,-0.075073,-0.017456
820081,G,1.464844,-0.427246,0.244141
820086,A,0.996826,-0.074219,-0.023315
820091,G,1.770020,-0.427246,0.244141
820096,A,0.996704,-0.073975,-0.020996
820101,G,1.892090,-0.366211,0.244141
820106,A,0.996948,-0.072998,-0.019531
820111,G,1.831055,-0.305176,0.244141
820116,A,0.997925,-0.075317,-0.020142
820121,M,-10.241699,38.244629,-26.147461
820125,G,1.647949,-0.366211,0.183105
820130,A,0.996460,-0.074951,-0.015503
820135,G,1.708984,-0.427246,0.244141
820140,A,0.995850,-0.075806,-0.017212
820145,G,1.708984,-0.427246,0.305176
820150,A,0.996216,-0.073242,-0.018555
820155,G,1.953125,-0.366211,0.183105
820160,A,0.996826,-0.073364,-0.017090
820165,G,2.014160,-0.427246,0.244141
820170,A,0.996948,-0.072632,-0.016968
820175,M,-12.231445,37.829590,-25.109863
820179,G,1.525879,-0.244141,0.183105
820184,A,0.995361,-0.076172,-0.017700
820189,G,1.892090,-0.366211,0.122070
820194,A,0.997192,-0.076782,-0.018555
820199,G,1.831055,-0.427246,0.061035
820204,A,0.995850,-0.073364,-0.016602
820209,G,1.831055,-0.366211,0.366211
820214,A,0.997681,-0.073364,-0.018799
820219,M,-10.253906,37.817383,-27.673340
820223,G,1.770020,-0.366211,0.122070
820228,A,0.996094,-0.075195,-0.019043
820233,G,1.525879,-0.305176,0.122070
820238,A,0.996460,-0.074463,-0.016724
820243,G,1.831055,-0.366211,0.122070
820248,A,0.996338,-0.076782,-0.016235
820253,G,1.708984,-0.366211,0.305176
820258,A,0.996460,-0.075317,-0.021729
820263,G,1.770020,-0.366211,0.244141
820268,A,0.996460,-0.073730,-0.019653
820273,M,-12.365723,37.548828,-24.450684
820277,G,1.831055,-0.305176,0.183105
820282,A,0.996948,-0.074341,-0.020386
820287,G,1.831055,-0.305176,0.244141
820292,A,0.997314,-0.074951,-0.014038
820297,G,1.831055,-0.305176,0.122070
820302,A,0.996216,-0.074829,-0.016113
820307,G,1.831055,-0.427246,0.122070
820312,A,0.996704,-0.074219,-0.017822
820317,M,-9.643555,37.829590,-26.696777
820321,G,1.953125,-0.366211,0.244141
820326,A,0.995850,-0.074097,-0.016113
820331,G,1.770020,-0.366211,0.244141
820336,A,0.996216,-0.073120,-0.022095
820341,G,2.014160,-0.488281,0.305176
820346,A,0.997192,-0.074463,-0.016235
820351,G,2.075195,-0.427246,0.244141
820356,A,0.996460,-0.076416,-0.018311
820361,G,1.953125,-0.427246,0.305176
820366,A,0.997314,-0.076782,-0.015015
820371,M,-12.573242,38.342285,-25.610352
820375,G,2.014160,-0.244141,0.244141
820380,A,0.995605,-0.074463,-0.016113
820385,G,1.953125,-0.244141,0.244141
820390,A,0.997559,-0.073120,-0.020630
820395,G,1.831055,-0.305176,0.244141
820400,A,0.997437,-0.073364,-0.019775
820405,G,1.708984,-0.366211,0.244141
820410,A,0.996826,-0.074707,-0.013916
820415,G,1.831055,-0.366211,0.183105
820420,A,0.997070,-0.076050,-0.012939
820425,M,-10.302734,37.634277,-26.281738
820429,G,1.708984,-0.366211,0.244141
820434,A,0.996704,-0.074341,-0.022705
820439,G,1.647949,-0.305176,0.244141
820444,A,0.997192,-0.073853,-0.019043
820449,G,1.770020,-0.427246,0.183105
820454,A,0.997314,-0.073486,-0.023437
820459,G,1.770020,-0.305176,0.183105
820464,A,0.996216,-0.074341,-0.017212
820469,M,-11.706543,37.573242,-25.732422
820473,G,1.892090,-0.549316,0.183105
820478,A,0.996094,-0.074463,-0.020752
820483,G,1.831055,-0.366211,0.183105
820488,A,0.996216,-0.075439,-0.015625
820493,G,2.014160,-0.488281,0.183105
820498,A,0.996338,-0.074219,-0.019287
820503,G,1.953125,-0.427246,0.244141
820508,A,0.996948,-0.072998,-0.019043
820513,G,2.014160,-0.244141,0.244141
820518,A,0.996338,-0.073608,-0.019531
820523,M,-10.412598,38.159180,-25.720215
820527,G,1.892090,-0.244141,0.122070
820532,A,0.994995,-0.074585,-0.020142
820537,G,2.075195,-0.305176,0.183105
820542,A,0.996094,-0.075317,-0.017212
820547,G,1.953125,-0.488281,0.183105
820552,A,0.996094,-0.075073,-0.021851
820557,G,1.708984,-0.366211,0.183105
820562,A,0.996094,-0.073853,-0.021851
820567,G,1.892090,-0.549316,0.244141
820572,A,0.996826,-0.072021,-0.021484
820577,M,-11.267090,37.683105,-26.733398
820581,G,1.831055,-0.366211,0.183105
820586,A,0.996582,-0.074707,-0.019043
820591,G,1.892090,-0.488281,0.183105
820596,A,0.996460,-0.076538,-0.015625
820601,G,2.075195,-0.366211,0.122070
820606,A,0.996704,-0.076416,-0.013916
820611,G,1.892090,-0.366211,0.244141
820616,A,0.996216,-0.073975,-0.018799
820621,M,-10.437012,38.024902,-26.342773
820625,G,1.831055,-0.427246,0.244141
820630,A,0.996582,-0.072754,-0.021729
820635,G,1.586914,-0.305176,0.122070
820640,A,0.996094,-0.073242,-0.014038
820645,G,1.708984,-0.366211,0.366211
820650,A,0.995850,-0.075439,-0.019897
820655,G,1.770020,-0.427246,0.183105
820660,A,0.995728,-0.075073,-0.018921
820665,G,1.647949,-0.366211,0.244141
820670,A,0.996460,-0.074951,-0.022583
820675,M,-11.022949,37.854004,-27.258301
820679,G,1.586914,-0.549316,0.244141
820684,A,0.995972,-0.072266,-0.021851
820689,G,1.831055,-0.366211,0.183105
820694,A,0.996948,-0.073730,-0.017456
820699,G,1.892090,-0.366211,0.244141
820704,A,0.997192,-0.071655,-0.018311
820709,G,1.831055,-0.488281,0.305176
820714,A,0.996582,-0.074951,-0.019043
820719,G,1.831055,-0.549316,0.305176
820724,A,0.998047,-0.075073,-0.016968
820729,M,-11.157227,37.731934,-25.549316
820733,G,1.770020,-0.305176,0.183105
